year,CO2 emission intensity (kg/yr),CH4 emission intensity (kg/yr),CH4 fossil emission intensity (kg/yr),N2O emission intensity (kg/yr),atmospheric CO2 (in kg),atmospheric CH4 (in kg),atmospheric CH4 fossil (in kg),atmospheric N2O (in kg),CO2 irf (in W/m^2),CH4 irf (in W/m^2),CH4 fossil irf (in W/m^2),N2O irf (in W/m^2),CO2 crf (in W/m^2),CH4 crf (in W/m^2),CH4 fossil crf (in W/m^2),N2O crf (in W/m^2)
2075.4166666666206,0.0,0.0,0.0,3.024611878588468e-26,0.0,0.0013184343759928135,0.004382307819170101,2.5209092797431378e-27,0.0,2.7773835303178795e-16,9.33622543004712e-16,8.996955477135311e-40,0.0,2.2677599202160186e-14,1.4791568837262773e-14,1.18822300767578e-44
2075.499999999954,0.0,0.0,0.0,2.9592238824791124e-23,0.0,0.0013096036363379857,0.004352955566116727,2.468539075779969e-24,0.0,2.7587808972824847e-16,9.274783974270372e-16,8.810049745472832e-37,0.0,2.2700666467124077e-14,1.4869111488802413e-14,7.496069942241764e-41
2075.5833333332876,0.0,0.0,0.0,7.88324938105778e-21,0.0,0.0013008320440812166,0.004323799911475619,6.594042879867775e-22,0.0,2.7403028627953533e-16,9.213752346071882e-16,2.3533695036632334e-34,0.0,2.2723579229888118e-14,1.494614385738666e-14,7.346676635045108e-38
2075.6666666666206,0.0,0.0,0.0,8.097228267851809e-19,0.0,0.0012921192030592365,0.004294839538450562,6.813585254124736e-20,0.0,2.721948592308054e-16,9.153127818465583e-16,2.4317226987744725e-32,0.0,2.2746338525292367e-14,1.5022669346738706e-14,1.9678127605713288e-35
2075.7499999999536,0.0,0.0,0.0,4.031451544321268e-17,0.0,0.001283464719762237,0.0042660731390651106,3.427631896779241e-18,0.0,2.703717256861876e-16,9.092907682415755e-16,1.2232987444305763e-30,0.0,2.2768945381245628e-14,1.5098691337932603e-14,2.0454160616889958e-33
2075.833333333287,0.0,0.0,0.0,1.1395136859783498e-15,0.0,0.001274868203316098,0.004237499414103509,9.838474591298216e-17,0.0,2.685608033050388e-16,9.033089246722773e-16,3.511285335498319e-29,0.0,2.2791400818771876e-14,1.5174213189542376e-14,1.0395188231124776e-31
2075.9166666666206,0.0,0.0,0.0,2.0482806437000613e-14,0.0,0.0012663292654647353,0.004209117073052021,1.805217547567548e-15,0.0,2.6676201029822537e-16,8.973669837909476e-16,6.4426998752067395e-28,0.0,2.2813705852056358e-14,1.524923823779019e-14,3.0290156262545923e-30
2075.9999999999536,0.0,0.0,0.0,2.546669675378446e-13,0.0,0.001257847520552564,0.004180924834040638,2.3026222007636646e-14,0.0,2.6497526542442894e-16,8.91464680010822e-16,8.217903590344546e-27,0.0,2.2835861488491438e-14,1.532376979669353e-14,5.669969749181994e-29
2076.0833333332866,0.0,0.0,0.0,2.334536180045676e-12,0.0,0.0012494225855070819,0.004152921423785185,2.1755505085807668e-13,0.0,2.6320048798647724e-16,8.85601749494856e-16,7.764393277156972e-26,0.0,2.285786872872204e-14,1.539781115821152e-14,7.412892294310447e-28
2076.16666666662,0.0,0.0,0.0,1.6580113931237542e-11,0.0,0.0012410540798215661,0.0041251055775298195,1.5990814320752531e-12,0.0,2.6143759782769923e-16,8.797779301445562e-16,5.707013958931812e-25,0.0,2.2879728566690883e-14,1.5471365592390202e-14,7.2093893975155e-27
2076.2499999999536,0.0,0.0,0.0,9.486793736396285e-11,0.0,0.0012327416255378909,0.004097476038989903,9.503641962467067e-12,0.0,2.596865153283056e-16,8.739929615888792e-16,3.391785824822038e-24,0.0,2.2901441989683367e-14,1.5544436347507e-14,5.475146593764592e-26
2076.3333333332866,0.0,0.0,0.0,4.512427837729768e-10,0.0,0.0012244848472294542,0.004070031560295263,4.7100664322260836e-11,0.0,2.579471614017919e-16,8.682465851731917e-16,1.680990995019284e-23,0.0,2.2923009978372134e-14,1.5617026650214183e-14,3.3730297615263073e-25
2076.4166666666197,0.0,0.0,0.0,1.8302646484237927e-09,0.0,0.0012162833719842245,0.004042770901933837,1.9959029105123528e-10,0.0,2.5621945749136715e-16,8.625385439482954e-16,7.12324309599674e-23,0.0,2.2944433506861406e-14,1.5689139705681424e-14,1.7376465380147894e-24
2076.499999999953,0.0,0.0,0.0,6.464114383761984e-09,0.0,0.001208136829387896,0.004015692832695686,7.381290781433924e-10,0.0,2.5450332556640606e-16,8.568685826595156e-16,2.6343329788970812e-22,0.0,2.2965713542730924e-14,1.5760778697737496e-14,7.671638831021477e-24
2076.5833333332866,0.0,0.0,0.0,2.0226853649526297e-08,0.0,0.0012000448515071616,0.0039887961296173925,2.4231920372569444e-09,0.0,2.5279868811892407e-16,8.512364477358523e-16,8.648209218370183e-22,0.0,2.29868510470797e-14,1.5831946789010985e-14,2.961685589482465e-23
2076.6666666666197,0.0,0.0,0.0,5.689562583285186e-08,0.0,0.0011920070728730931,0.003962079577926822,7.1628258995013045e-09,0.0,2.5110546816007767e-16,8.456418872791954e-16,2.55636433354124e-21,0.0,2.3007846974569394e-14,1.590264712107017e-14,1.0166045479847383e-22
2076.7499999999527,0.0,0.0,0.0,1.45641536044052e-07,0.0,0.0011840231304646367,0.003935541970988263,1.9294689192478227e-08,0.0,2.4942358921668653e-16,8.400846510536019e-16,6.886144654423201e-21,0.0,2.3028702273467447e-14,1.597288281456195e-14,3.1461747520222753e-22
2076.833333333286,0.0,0.0,0.0,3.428280077056328e-07,0.0,0.0011760926636922165,0.003909182110247924,4.785040605600493e-08,0.0,2.477529753277801e-16,8.345644904746361e-16,1.7077487726674078e-20,0.0,2.3049417885689884e-14,1.6042656969349947e-14,8.882653032658323e-22
2076.9166666666197,0.0,0.0,0.0,7.487389374513147e-07,0.0,0.001168215314381449,0.003882998805179808,1.1021237403064928e-07,0.0,2.460935510411665e-16,8.290811585987717e-16,3.9334054190326514e-20,0.0,2.3069994746843893e-14,1.611197266465163e-14,2.3108993365048563e-21
2076.9999999999527,0.0,0.0,0.0,1.5289379063329777e-06,0.0,0.0011603907267569665,0.00385699087323194,2.375479885178862e-07,0.0,2.444452414100253e-16,8.236344101128571e-16,8.477927760241488e-20,0.0,2.3090433786270043e-14,1.6180832959174677e-14,5.587608712733726e-21
