"heat production, wood chips from industry, at furnace 50kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",30520f56-f443-45e4-9d99-f99ac84066c1,1,MJ
"heat production, wood chips from industry, at furnace 50kW | heat, central or small-scale, other than natural gas | EN15804, U",ac68bb9d-446a-48a1-a384-8af63b8465c5,1,MJ
"treatment of stalk, in wood heater 6kW | heat, central or small-scale, other than natural gas | EN15804, U",b3e94cf6-deff-4718-b52e-52e99b8a15ff,1,MJ
"operation, solar collector system, Cu flat plate collector, one-family house, for hot water | heat, central or small-scale, other than natural gas | EN15804, U",6f6c7f78-3433-4a98-9e11-1cd629dd86c6,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",3ffb01e4-af76-4121-baf3-e0bba75dc025,1,MJ
"operation, solar collector system, Cu flat plate collector, one-family house, for combined system | heat, central or small-scale, other than natural gas | EN15804, U",5c62912d-4f36-4ace-b647-686560fb7552,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",4130d25b-a1d2-4ebf-9729-3835d72ff911,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",c03b6888-0792-4c33-a632-0f4d4cf93f3c,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",d10f5d83-1327-4e52-bd3e-550b271f8d30,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",a4e2c407-838f-4be3-97bf-80eeef76c848,1,MJ
"operation, solar collector system, evacuated tube collector, one-family house, for combined system | heat, central or small-scale, other than natural gas | EN15804, U",f6e2193f-8fb0-445d-80ce-026278fbb296,1,MJ
"heat production, softwood chips from forest, at furnace 50kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",6ff6ed0d-e606-4e3b-87c5-1003c14a3ba1,1,MJ
"operation, solar collector system, Cu flat plate collector, one-family house, for hot water | heat, central or small-scale, other than natural gas | EN15804, U",e6828937-cf8d-4297-b44b-28adedb0caf6,1,MJ
"treatment of wastewater from hard fibreboard production, wastewater treatment | heat, central or small-scale, other than natural gas | EN15804, U",a618c214-55a8-415b-8526-36fd3f985fa6,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",bd38c6a2-f3a1-40f8-8fd1-f28cca6dee21,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",6a790d01-e50e-466e-8516-db84dca0928d,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",9ed82aab-c507-42ca-b551-4395b79af1a4,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",bfb40d7d-21b2-453d-bd00-bbbc8aea9868,1,MJ
"heat production, mixed logs, at wood heater 6kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",007bc8f8-10c5-4167-adc6-c6536b2c5f2f,1,MJ
