Name,Amount,Unit,UUID,GWP (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],CH4 [kg],N20 [kg]
Electricity - HYDRO - ISO-NE,1,MJ,984db75f-d3d6-3fcc-bada-1c38cd6288e6,0.003604491,2.24E-06,1.75E-07,1.98E-12,7.61E-05,0.003513333,3.21E-06,3.76E-09
Electricity - HYDRO - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,1,MJ,0f0dea5c-1d32-3d42-9048-b4ff2167264c,0.002635086,2.39E-24,6.23E-26,0,4.11E-08,0.00255515,2.85E-06,1.41E-24
Electricity - HYDRO - Los Angeles Department of Water and Power,1,MJ,ab98f6a9-7ace-32b2-9c98-1d6588fb4f95,0.000792045,1.04E-23,2.72E-25,0,2.63E-08,0.000740882,1.83E-06,6.14E-24
"Electricity - HYDRO - Midcontinent Independent System Operator, Inc.",1,MJ,bf18a68a-9b8f-36d3-b2e1-64e281678876,0.007243394,1.57E-06,2.03E-07,8.89E-12,1.93E-05,0.006044024,4.28E-05,1.24E-09
Electricity - HYDRO - Nevada Power Company,1,MJ,a3ec4830-9b1d-34ab-8781-c79fa8090aef,0.06822455,5.75E-23,1.50E-24,0,3.61E-06,0.061203578,0.000250749,3.38E-23
Electricity - HYDRO - New York Independent System Operator,1,MJ,133ccb36-3b8d-36d6-a364-da12d3c7903d,0.001030888,2.71E-24,7.05E-26,0,6.58E-09,0.001018068,4.58E-07,1.59E-24
Electricity - HYDRO - NorthWestern Corporation,1,MJ,f926edec-1ad0-3e22-8f72-bf5654c2dafd,0.009552199,2.01E-24,5.24E-26,0,1.00E-07,0.009356758,6.98E-06,1.18E-24
Electricity - HYDRO - PacifiCorp East,1,MJ,f4e32f1d-8bac-3025-bcf7-169ab8393f4d,0.003806893,2.66E-23,6.92E-25,0,5.96E-08,0.003690822,4.15E-06,1.56E-23
Electricity - HYDRO - PacifiCorp West,1,MJ,02512e6a-cab5-3b1d-bc4e-369764e50d18,0.000422484,4.60E-24,1.20E-25,0,3.49E-09,0.000415694,2.42E-07,2.71E-24
"Electricity - HYDRO - PJM Interconnection, LLC",1,MJ,b13e6231-7bcd-364b-b8ab-321eb3a08edc,0.002612045,0.000237344,1.50E-05,0,0.005588723,0.002463773,5.30E-06,2.40E-24
