Region,Technology Type,EP,AP,Particulate Matter Formation Potential,SFP,GWP,ODP,Water Consumption
Southeast,Mixed,8.55E-02,1.94E+00,1.75E-01,3.74E+01,9.30E+02,1.43E-05,-1.55E+04
Southeast,Nuclear,2.24E-02,2.50E-01,1.36E-02,2.12E+00,1.99E+01,4.27E-09,5.80E+02
Southeast,Other fossil,3.36E-01,5.36E+00,8.06E-02,1.83E+02,9.98E+02,3.70E-08,2.74E-01
Southeast,Petroleum,2.26E-01,6.38E+00,4.70E-01,1.00E+02,1.15E+03,6.23E-06,4.27E+02
Southeast,Other fuels,4.14E-01,8.60E+00,3.16E+00,1.60E+02,1.22E+00,2.69E-10,-2.01E-02
Southeast,Solar,6.93E-03,1.00E-01,2.03E-02,1.14E+00,2.24E+01,4.81E-07,-2.13E-02
Southeast,Solar thermal,7.59E-02,5.17E-01,1.12E-02,6.37E+02,8.51E+01,7.14E-09,-4.94E+03
Southeast,Wind,5.46E-02,1.05E-01,2.22E-02,1.48E+00,2.95E+01,1.55E-08,4.30E-01
Southeast,SCPC,4.39E-02,1.01E+00,1.28E-01,1.39E+01,9.49E+02,2.60E-08,8.77E+03
Southeast,SCPC w/ CCS,5.31E-02,8.20E-01,1.21E-01,1.66E+01,2.89E+02,3.20E-08,1.59E+04
Southeast,SubPC,4.63E-02,1.06E+00,1.34E-01,1.47E+01,9.90E+02,2.69E-08,9.27E+03
Southeast,SubPC w/ CCS,5.49E-02,8.49E-01,1.26E-01,1.72E+01,3.01E+02,3.31E-08,1.67E+04
Southeast,NGCC,2.85E-02,4.17E-01,6.21E-03,1.46E+01,4.68E+02,3.86E-09,3.13E+03
Southeast,NGCC w/ CCS,3.24E-02,4.74E-01,9.05E-03,1.65E+01,1.55E+02,4.59E-09,5.37E+03
Southeast,OxyPC w/ CCS,5.13E-02,7.89E-01,1.38E-01,1.59E+01,2.80E+02,3.38E-08,1.47E+04
Southeast,SOFC Coal Conventional Gasifier w/ CCS,1.83E-02,2.72E-01,5.21E-02,4.87E+00,1.41E+02,3.63E-08,5.91E+03
Southeast,SOFC NG w/ CCS,2.36E-02,3.52E-01,1.13E-02,1.18E+01,9.52E+01,3.23E-09,4.62E+03
Southeast,SubPC w/ CCS w/ NG Aux,6.52E-02,1.19E+00,1.75E+00,2.31E+01,4.37E+02,1.28E-05,1.41E+04
Southwest,Biomass,2.59E-01,4.39E+00,2.24E-01,1.42E+02,1.20E+03,6.89E-05,3.51E+01
Southwest,Coal,8.01E-02,1.56E+00,1.81E-01,3.65E+01,1.12E+03,2.47E-05,5.34E+03
Southwest,Natural gas,9.01E-02,1.24E+00,4.77E-02,4.18E+01,6.23E+02,1.94E-06,5.92E+02
Southwest,Geothermal,3.38E-03,3.79E-01,1.05E-02,4.62E-01,1.21E+02,9.83E-12,1.27E+02
Southwest,Hydro,1.87E-04,2.61E-03,4.13E-03,3.40E-02,1.29E+01,1.86E-09,5.71E-01
Southwest,Mixed,1.53E-01,2.66E+00,1.25E-01,7.24E+01,1.08E+03,2.80E-05,1.96E+03
Southwest,Nuclear,2.22E-02,2.47E-01,1.33E-02,2.08E+00,1.97E+01,4.24E-09,4.29E+01
Southwest,Other fossil,3.34E-01,5.32E+00,8.00E-02,1.82E+02,9.91E+02,3.68E-08,2.72E-01
Southwest,Petroleum,2.25E-01,6.34E+00,4.67E-01,9.95E+01,1.14E+03,6.18E-06,4.25E+02
Southwest,Other fuels,4.11E-01,8.54E+00,3.14E+00,1.59E+02,1.21E+00,2.67E-10,-2.00E-02
Southwest,Solar,6.88E-03,9.93E-02,2.01E-02,1.13E+00,2.23E+01,4.78E-07,-2.12E-02
Southwest,Solar thermal,7.54E-02,5.13E-01,1.11E-02,6.33E+02,8.45E+01,7.10E-09,-4.91E+03
Southwest,Wind,5.42E-02,1.04E-01,2.20E-02,1.47E+00,2.93E+01,1.54E-08,4.27E-01
Southwest,SCPC,4.36E-02,1.00E+00,1.27E-01,1.38E+01,9.43E+02,2.59E-08,8.70E+03
Southwest,SCPC w/ CCS,5.27E-02,8.15E-01,1.20E-01,1.65E+01,2.87E+02,3.17E-08,1.58E+04
Southwest,SubPC,4.59E-02,1.05E+00,1.33E-01,1.46E+01,9.84E+02,2.67E-08,9.20E+03
Southwest,SubPC w/ CCS,5.46E-02,8.43E-01,1.25E-01,1.71E+01,2.99E+02,3.28E-08,1.66E+04
Southwest,NGCC,2.83E-02,4.14E-01,6.17E-03,1.45E+01,4.64E+02,3.83E-09,3.11E+03
Southwest,NGCC w/ CCS,3.22E-02,4.71E-01,8.99E-03,1.64E+01,1.54E+02,4.55E-09,5.33E+03
Southwest,OxyPC w/ CCS,5.09E-02,7.83E-01,1.37E-01,1.58E+01,2.78E+02,3.36E-08,1.46E+04
Southwest,SOFC Coal Conventional Gasifier w/ CCS,1.82E-02,2.70E-01,5.18E-02,4.84E+00,1.40E+02,3.61E-08,5.87E+03
Southwest,SOFC NG w/ CCS,2.34E-02,3.50E-01,1.12E-02,1.17E+01,9.46E+01,3.21E-09,4.59E+03
Southwest,SubPC w/ CCS w/ NG Aux,6.48E-02,1.18E+00,1.74E+00,2.29E+01,4.34E+02,1.27E-05,1.40E+04
SPP,Biomass,0.260214304,4.412423368,0.224909158,142.9419328,1207.961018,6.93E-05,35.3270719
SPP,Coal,0.084570295,2.686898502,0.242643572,34.52810283,1134.368543,3.10E-05,16379.91279
SPP,Natural gas,0.090645528,1.251097998,0.047956953,42.02180488,626.798027,1.95E-06,595.7509762
SPP,Geothermal,0.003398831,0.380747644,0.010594676,0.464792271,121.3516982,9.88E-12,127.2470789
SPP,Hydro,0.000187865,0.002626232,0.004153936,0.034235017,12.99673117,1.87E-09,0.57442522
SPP,Mixed,0.112393426,3.144103012,0.215027728,49.09173238,1097.892948,1.72E-05,10053.01281
SPP,Nuclear,0.022388799,0.24963661,0.01347266,2.119696411,19.82913433,4.26E-09,1795.943976
SPP,Other fossil,0.33582629,5.354498714,0.080510165,182.9025325,996.3478172,3.70E-08,0.273344543
SPP,Petroleum,0.226081316,6.371731055,0.469907082,100.0803919,1150.908728,6.22E-06,426.9702704
SPP,Other fuels,0.413189142,8.588616879,3.157244007,159.7175626,1.221441018,2.68E-10,-0.020102395
SPP,Solar,0.006918239,0.099917033,0.020227803,1.137216606,22.38445537,4.80E-07,-0.021277818
SPP,Solar thermal,0.075819194,0.516392153,0.01119497,636.342975,84.95438039,7.14E-09,-4938.506406
SPP,Wind,0.054485589,0.104945366,0.022175599,1.48092219,29.49115615,1.55E-08,0.429170162
SPP,SCPC,0.043852834,1.010079015,0.128137057,13.92840154,947.9780784,2.60E-08,8754.844736
SPP,SCPC w/ CCS,0.053006878,0.819313168,0.121053139,16.59794335,288.8767641,3.19E-08,15854.02746
SPP,SubPC,0.046205374,1.060519177,0.13355967,14.69114817,989.2662182,2.69E-08,9258.150123
SPP,SubPC w/ CCS,0.054876664,0.847967669,0.126059774,17.16133614,301.0662596,3.30E-08,16671.91885
SPP,NGCC,0.028417709,0.416611007,0.006200841,14.60549019,466.965309,3.86E-09,3129.128518
SPP,NGCC w/ CCS,0.032360361,0.47372318,0.009040178,16.52912278,154.3916965,4.58E-09,5363.690007
SPP,OxyPC w/ CCS,0.051195751,0.787561751,0.137902676,15.90433058,279.2595772,3.38E-08,14671.64035
SPP,SOFC Coal Conventional Gasifier w/ CCS,0.01827686,0.271953397,0.052082371,4.864879335,140.5086527,3.63E-08,5900.115931
SPP,SOFC NG w/ CCS,0.023524509,0.351884559,0.011295786,11.77344313,95.11116202,3.23E-09,4615.934001
SPP,SubPC w/ CCS w/ NG Aux,0.065126499,1.191416154,1.748796464,23.05251639,436.1455536,1.27E-05,14069.22742
