name,UUID,declared_qty,declared_unit,conversion_factor,converted_unit
"blow moulding | blow moulding | EN15804, U",e3716672-40aa-4da2-bff5-aae3d33ae904,1,kg,6.12,MJ
"particleboard production, uncoated, average glue mix | bark chips, wet, measured as dry mass | EN15804, U",1a277614-c755-4822-a202-7bf93d35fc80,1,kg,13.6,MJ
"market for bark chips, wet, measured as dry mass | bark chips, wet, measured as dry mass | EN15804, U",1984a1ff-a5d9-455e-8bdb-09127d1300ec,1,kg,13.6,MJ
"bark chips production, hardwood, at sawmill | bark chips, wet, measured as dry mass | EN15804, U",59ffdf11-68fa-4ba2-b01f-2e7eb0008a7d,1,kg,13.6,MJ
"bark chips production, hardwood, at sawmill | bark chips, wet, measured as dry mass | EN15804, U",75c59387-8e98-4b6c-a0b2-8c101bad5ea6,1,kg,13.6,MJ
"fibreboard production, soft, from wet & dry processes | bark chips, wet, measured as dry mass | EN15804, U",c771568f-46f6-4948-a7af-1d41ad17493f,1,kg,13.6,MJ
"kraft paper production | bark chips, wet, measured as dry mass | EN15804, U",20f722f4-0f55-4c5a-8f46-89cb67b79ad0,1,kg,13.6,MJ
"debarking, softwood, in forest | bark chips, wet, measured as dry mass | EN15804, U",124744e3-df09-4e40-a566-918e40a49cc8,1,kg,13.6,MJ
"debarking, softwood, in forest | bark chips, wet, measured as dry mass | EN15804, U",d61a9253-ef6d-42ee-8d75-be15e8c1ffcb,1,kg,13.6,MJ
"market for bark chips, wet, measured as dry mass | bark chips, wet, measured as dry mass | EN15804, U",08bcc86c-29e3-4268-9e8b-bb8cf98ef5df,1,kg,13.6,MJ
"particleboard production, uncoated, average glue mix | bark chips, wet, measured as dry mass | EN15804, U",e0b7e1b5-0e8d-4edd-8b49-eb3a3054453b,1,kg,13.6,MJ
"sulfate pulp production, from softwood, bleached | bark chips, wet, measured as dry mass | EN15804, U",d29ba5a0-bb64-4c1c-a114-801886ec7e5f,1,kg,13.6,MJ
"folding boxboard carton production | bark chips, wet, measured as dry mass | EN15804, U",d20d76c3-e8a4-464f-8f17-7f0ba626785b,1,kg,13.6,MJ
"fibreboard production, soft, from wet & dry processes | bark chips, wet, measured as dry mass | EN15804, U",2e02b41f-0ee3-4992-8023-1634814fcc6a,1,kg,13.6,MJ
"hard coal, import from ZA | hard coal | EN15804, U",2cecaa71-80cf-4769-8adb-f742559dc30a,1,kg,27.91,MJ
"hard coal preparation, coal washing | hard coal | EN15804, U",3ab1ea1e-1064-4179-9cc1-e7826f6814c5,1,kg,27.91,MJ
"hard coal, import from ID | hard coal | EN15804, U",fc810825-0270-4278-b9eb-56c472d839c5,1,kg,27.91,MJ
"hard coal, import from ID | hard coal | EN15804, U",cc7ab3eb-4286-408e-8869-c1e93c03e709,1,kg,27.91,MJ
"market for hard coal | hard coal | EN15804, U",0e9e50f0-c955-4ad2-831f-a667d9667380,1,kg,27.91,MJ
"market for hard coal | hard coal | EN15804, U",1feb43e4-7320-47a7-a6ff-b9499dbca3ff,1,kg,27.91,MJ
"hard coal preparation, crushing and destoning | hard coal | EN15804, U",bbc9e6d6-4b79-481b-8ae3-04d68ceacbc6,1,kg,27.91,MJ
"hard coal, import from RNA | hard coal | EN15804, U",b677fa12-b0aa-4e20-aa06-54e4570d1e35,1,kg,27.91,MJ
"hard coal, import from Indonesia | hard coal | EN15804, U",eaac3584-0a55-4c26-aa54-64e672069314,1,kg,27.91,MJ
"hard coal, import from RNA | hard coal | EN15804, U",002ec1a8-0e94-46c6-bcab-7739233a7313,1,kg,27.91,MJ
"hard coal, import from RNA | hard coal | EN15804, U",cb585ce5-9929-4ff6-ab55-62a27f033bc9,1,kg,27.91,MJ
"hard coal, import from AU | hard coal | EN15804, U",70fe3d85-651f-4781-86b4-59da7e497480,1,kg,27.91,MJ
