zip_code,reeds_ba,cambium_gea
3071,p130,ISONE
3073,p130,ISONE
3076,p130,ISONE
3077,p130,ISONE
3079,p130,ISONE
3082,p130,ISONE
3084,p130,ISONE
3086,p130,ISONE
3087,p130,ISONE
3101,p130,ISONE
3102,p130,ISONE
3103,p130,ISONE
3104,p130,ISONE
3105,p130,ISONE
3106,p130,ISONE
3108,p130,ISONE
3109,p130,ISONE
3110,p130,ISONE
3111,p130,ISONE
3215,p130,ISONE
3216,p130,ISONE
3217,p130,ISONE
3218,p130,ISONE
3220,p130,ISONE
3221,p130,ISONE
3222,p130,ISONE
3223,p130,ISONE
3224,p130,ISONE
3225,p130,ISONE
3226,p130,ISONE
3227,p130,ISONE
3229,p130,ISONE
3230,p130,ISONE
3231,p130,ISONE
3233,p130,ISONE
3234,p130,ISONE
3235,p130,ISONE
3237,p130,ISONE
3238,p130,ISONE
3240,p130,ISONE
3241,p130,ISONE
3242,p130,ISONE
3243,p130,ISONE
3244,p130,ISONE
3245,p130,ISONE
3246,p130,ISONE
3247,p130,ISONE
3249,p130,ISONE
3251,p130,ISONE
3252,p130,ISONE
3253,p130,ISONE
3254,p130,ISONE
3255,p130,ISONE
3256,p130,ISONE
3257,p130,ISONE
3258,p130,ISONE
3259,p130,ISONE
3260,p130,ISONE
3261,p130,ISONE
3262,p130,ISONE
3263,p130,ISONE
3264,p130,ISONE
3266,p130,ISONE
3268,p130,ISONE
3269,p130,ISONE
3272,p130,ISONE
3273,p130,ISONE
3275,p130,ISONE
3276,p130,ISONE
3278,p130,ISONE
3279,p130,ISONE
3280,p130,ISONE
3281,p130,ISONE
3282,p130,ISONE
3284,p130,ISONE
3285,p130,ISONE
3287,p130,ISONE
3289,p130,ISONE
3290,p130,ISONE
3291,p130,ISONE
3293,p130,ISONE
3298,p130,ISONE
3299,p130,ISONE
3301,p130,ISONE
3302,p130,ISONE
3303,p130,ISONE
3304,p130,ISONE
3305,p130,ISONE
3307,p130,ISONE
3431,p130,ISONE
3435,p130,ISONE
3440,p130,ISONE
3441,p130,ISONE
3442,p130,ISONE
3443,p130,ISONE
3444,p130,ISONE
3445,p130,ISONE
3446,p130,ISONE
3447,p130,ISONE
3448,p130,ISONE
3449,p130,ISONE
3450,p130,ISONE
3451,p130,ISONE
3452,p130,ISONE
3455,p130,ISONE
3456,p130,ISONE
3457,p130,ISONE
3458,p130,ISONE
3461,p130,ISONE
3462,p130,ISONE
3464,p130,ISONE
3465,p130,ISONE
3466,p130,ISONE
3467,p130,ISONE
3468,p130,ISONE
3469,p130,ISONE
3470,p130,ISONE
3561,p130,ISONE
3570,p130,ISONE
3574,p130,ISONE
3575,p130,ISONE
3576,p130,ISONE
3579,p130,ISONE
3580,p130,ISONE
3581,p130,ISONE
3582,p130,ISONE
3583,p130,ISONE
3584,p130,ISONE
3585,p130,ISONE
3586,p130,ISONE
3588,p130,ISONE
3589,p130,ISONE
3590,p130,ISONE
3592,p130,ISONE
3593,p130,ISONE
3595,p130,ISONE
3597,p130,ISONE
3598,p130,ISONE
3601,p130,ISONE
3602,p130,ISONE
3603,p130,ISONE
3604,p130,ISONE
3605,p130,ISONE
3607,p130,ISONE
3608,p130,ISONE
3609,p130,ISONE
3740,p130,ISONE
3741,p130,ISONE
3743,p130,ISONE
3745,p130,ISONE
3746,p130,ISONE
3748,p130,ISONE
3749,p130,ISONE
3750,p130,ISONE
3751,p130,ISONE
3752,p130,ISONE
3753,p130,ISONE
3754,p130,ISONE
3755,p130,ISONE
3756,p130,ISONE
3765,p130,ISONE
3766,p130,ISONE
3768,p130,ISONE
3769,p130,ISONE
3770,p130,ISONE
3771,p130,ISONE
3773,p130,ISONE
3774,p130,ISONE
3777,p130,ISONE
3779,p130,ISONE
3780,p130,ISONE
3781,p130,ISONE
3782,p130,ISONE
3784,p130,ISONE
3785,p130,ISONE
3801,p130,ISONE
3802,p130,ISONE
3803,p130,ISONE
3804,p134,ISONE
3809,p130,ISONE
3810,p130,ISONE
3811,p130,ISONE
3812,p130,ISONE
3813,p130,ISONE
3814,p130,ISONE
3815,p130,ISONE
3816,p130,ISONE
3817,p130,ISONE
3818,p130,ISONE
3819,p130,ISONE
3820,p130,ISONE
3821,p130,ISONE
3822,p130,ISONE
3823,p130,ISONE
3824,p130,ISONE
3825,p130,ISONE
3826,p130,ISONE
3827,p130,ISONE
3830,p130,ISONE
3832,p130,ISONE
3833,p130,ISONE
3835,p130,ISONE
3836,p130,ISONE
3837,p130,ISONE
3838,p130,ISONE
3839,p130,ISONE
3840,p130,ISONE
3841,p130,ISONE
3842,p130,ISONE
3843,p130,ISONE
3844,p130,ISONE
3845,p130,ISONE
3846,p130,ISONE
3847,p130,ISONE
3848,p130,ISONE
3849,p130,ISONE
3850,p130,ISONE
3851,p130,ISONE
3852,p130,ISONE
3853,p130,ISONE
3854,p130,ISONE
3855,p130,ISONE
3856,p130,ISONE
3857,p130,ISONE
3858,p130,ISONE
3859,p130,ISONE
3860,p130,ISONE
3861,p130,ISONE
3862,p130,ISONE
3864,p130,ISONE
3865,p130,ISONE
3866,p130,ISONE
3867,p130,ISONE
3868,p130,ISONE
3869,p130,ISONE
3870,p130,ISONE
3871,p130,ISONE
3872,p130,ISONE
3873,p130,ISONE
3874,p130,ISONE
3875,p130,ISONE
3878,p130,ISONE
3882,p130,ISONE
3883,p130,ISONE
3884,p130,ISONE
3885,p130,ISONE
3886,p130,ISONE
3887,p130,ISONE
3890,p130,ISONE
3894,p130,ISONE
3896,p130,ISONE
3897,p130,ISONE
3901,p134,ISONE
3902,p134,ISONE
3903,p134,ISONE
3904,p134,ISONE
3905,p134,ISONE
3906,p134,ISONE
3907,p134,ISONE
3908,p134,ISONE
3909,p134,ISONE
3910,p134,ISONE
3911,p134,ISONE
4001,p134,ISONE
4002,p134,ISONE
4003,p134,ISONE
4004,p134,ISONE
4005,p134,ISONE
4006,p134,ISONE
4007,p134,ISONE
4008,p134,ISONE
4009,p134,ISONE
4010,p134,ISONE
4011,p134,ISONE
4013,p134,ISONE
4014,p134,ISONE
4015,p134,ISONE
4016,p134,ISONE
4017,p134,ISONE
4019,p134,ISONE
4020,p134,ISONE
4021,p134,ISONE
4022,p134,ISONE
4024,p134,ISONE
4027,p134,ISONE
4028,p134,ISONE
4029,p134,ISONE
4030,p134,ISONE
4032,p134,ISONE
4033,p134,ISONE
4034,p134,ISONE
4037,p134,ISONE
4038,p134,ISONE
4039,p134,ISONE
4040,p134,ISONE
4041,p134,ISONE
4042,p134,ISONE
4043,p134,ISONE
4046,p134,ISONE
4047,p134,ISONE
4048,p134,ISONE
4049,p134,ISONE
4050,p134,ISONE
4051,p134,ISONE
4054,p134,ISONE
4055,p134,ISONE
4056,p134,ISONE
4057,p134,ISONE
4061,p134,ISONE
4062,p134,ISONE
4063,p134,ISONE
4064,p134,ISONE
4066,p134,ISONE
4068,p134,ISONE
4069,p134,ISONE
4070,p134,ISONE
4071,p134,ISONE
4072,p134,ISONE
4073,p134,ISONE
4074,p134,ISONE
4076,p134,ISONE
4077,p134,ISONE
4078,p134,ISONE
4079,p134,ISONE
4082,p134,ISONE
4083,p134,ISONE
4084,p134,ISONE
4085,p134,ISONE
4086,p134,ISONE
4087,p134,ISONE
4088,p134,ISONE
4090,p134,ISONE
4091,p134,ISONE
4092,p134,ISONE
4093,p134,ISONE
4094,p134,ISONE
4095,p134,ISONE
4096,p134,ISONE
4097,p134,ISONE
4098,p134,ISONE
4101,p134,ISONE
4102,p134,ISONE
4103,p134,ISONE
4104,p134,ISONE
4105,p134,ISONE
4106,p134,ISONE
4107,p134,ISONE
4108,p134,ISONE
4109,p134,ISONE
4110,p134,ISONE
4112,p134,ISONE
4116,p134,ISONE
4122,p134,ISONE
4123,p134,ISONE
4124,p134,ISONE
4210,p134,ISONE
4211,p134,ISONE
4212,p134,ISONE
4216,p134,ISONE
4217,p134,ISONE
4219,p134,ISONE
4220,p134,ISONE
4221,p134,ISONE
4222,p134,ISONE
4223,p134,ISONE
4224,p134,ISONE
4225,p134,ISONE
4226,p134,ISONE
4227,p134,ISONE
4228,p134,ISONE
4230,p134,ISONE
4231,p134,ISONE
4234,p134,ISONE
4236,p134,ISONE
4237,p134,ISONE
4238,p134,ISONE
4239,p134,ISONE
4240,p134,ISONE
4241,p134,ISONE
4243,p134,ISONE
4250,p134,ISONE
4252,p134,ISONE
4253,p134,ISONE
4254,p134,ISONE
4255,p134,ISONE
4256,p134,ISONE
4257,p134,ISONE
4258,p134,ISONE
4259,p134,ISONE
4260,p134,ISONE
4261,p134,ISONE
4262,p134,ISONE
4263,p134,ISONE
4265,p134,ISONE
4266,p134,ISONE
4267,p134,ISONE
4268,p134,ISONE
4270,p134,ISONE
4271,p134,ISONE
4274,p134,ISONE
4275,p134,ISONE
4276,p134,ISONE
4280,p134,ISONE
4281,p134,ISONE
4282,p134,ISONE
4284,p134,ISONE
4285,p134,ISONE
4286,p134,ISONE
4287,p134,ISONE
4288,p134,ISONE
4289,p134,ISONE
4290,p134,ISONE
4291,p134,ISONE
4292,p134,ISONE
4294,p134,ISONE
4330,p134,ISONE
4332,p134,ISONE
4333,p134,ISONE
4336,p134,ISONE
4338,p134,ISONE
4341,p134,ISONE
4342,p134,ISONE
4343,p134,ISONE
4344,p134,ISONE
4345,p134,ISONE
4346,p134,ISONE
4347,p134,ISONE
4348,p134,ISONE
4349,p134,ISONE
4350,p134,ISONE
4351,p134,ISONE
4352,p134,ISONE
4353,p134,ISONE
4354,p134,ISONE
4355,p134,ISONE
4357,p134,ISONE
4358,p134,ISONE
4359,p134,ISONE
4360,p134,ISONE
4363,p134,ISONE
4364,p134,ISONE
4401,p134,ISONE
4402,p134,ISONE
4406,p134,ISONE
4408,p134,ISONE
4410,p134,ISONE
4411,p134,ISONE
4412,p134,ISONE
4413,p134,ISONE
4414,p134,ISONE
4415,p134,ISONE
4416,p134,ISONE
4417,p134,ISONE
4418,p134,ISONE
4419,p134,ISONE
4420,p134,ISONE
4421,p134,ISONE
4422,p134,ISONE
4424,p134,ISONE
4426,p134,ISONE
4427,p134,ISONE
4428,p134,ISONE
4429,p134,ISONE
