Process Name,UUID,Qty,Unit
"market for diesel, burned in agricultural machinery | diesel, burned in agricultural machinery | EN15804, U",721f5959-5a92-4835-bdbb-1a72cf9c9a32,1,MJ
"market for kerosene | kerosene | EN15804, U",fcf1ff8c-8c7e-4179-9848-cdc7d326febd,1,kg
"market for kerosene | kerosene | EN15804, U",f53d120d-8970-46c7-9be3-e399e5e17033,1,kg
"market for kerosene | kerosene | EN15804, U",0e94ba61-3351-4b4e-b6d2-369f2fe72c73,1,kg
"kerosene, import from RoW | kerosene | EN15804, U",72f9a0db-8dc0-46b0-8f0b-a5409fc9ed5a,1,kg
"kerosene production, petroleum refinery operation | kerosene | EN15804, U",cc28fb60-abfe-4709-81cd-d63ad7b74e66,1,kg
"market for kerosene | kerosene | EN15804, U",8d724ffd-d73d-4f80-b00a-1c7f464e8a4a,1,kg
"kerosene, import from RoW | kerosene | EN15804, U",80be1351-24b4-4a09-846b-1b924481ba1c,1,kg
"market for kerosene | kerosene | EN15804, U",7537e471-a40a-427a-95dd-5a079e816233,1,kg
"kerosene, import from RoW | kerosene | EN15804, U",ebce6933-2501-4085-a00f-2558965d4950,1,kg
"market for kerosene | kerosene | EN15804, U",8626d7b9-f4f2-4fab-92b5-7f6bef1ad6e6,1,kg
"market for kerosene | kerosene | EN15804, U",ce1e2ed9-deaf-4742-b2fc-f234cb89feae,1,kg
"kerosene production, petroleum refinery operation | kerosene | EN15804, U",7c6376a6-2b7e-4235-94b9-de318a5f545f,1,kg
"kerosene, import from RoW | kerosene | EN15804, U",04858594-aeee-4dc4-bad4-992d91fcdf26,1,kg
"kerosene production, petroleum refinery operation | kerosene | EN15804, U",88b2e0de-58d9-4f24-b3ee-a25739dc552c,1,kg
"light fuel oil production, petroleum refinery operation | light fuel oil | EN15804, U",ff627133-b17e-4ef7-8ce8-e4ac88cc47c8,1,kg
"light fuel oil production, petroleum refinery operation | light fuel oil | EN15804, U",57ef53d0-3093-4eb9-9f16-31971502ffc5,1,kg
"petroleum refinery operation | light fuel oil | EN15804, U",196e132b-8094-4448-84df-559e95b809a1,1,kg
"light fuel oil, import from RoW | light fuel oil | EN15804, U",b0370d56-3f18-4e04-bc72-02359a557d93,1,kg
"market for light fuel oil | light fuel oil | EN15804, U",4e01463a-f2a2-403c-8eb7-bde31f223260,1,kg
"light fuel oil production, petroleum refinery operation | light fuel oil | EN15804, U",fc3411e9-f14f-49e1-9f88-3182dd19173d,1,kg
"light fuel oil, import from RoW | light fuel oil | EN15804, U",23d50930-ba0b-4e94-9f06-4da7bfb8deae,1,kg
"light fuel oil production, petroleum refinery operation | light fuel oil | EN15804, U",0be41116-e000-4a14-b744-35f6ae1ba613,1,kg
"market for light fuel oil | light fuel oil | EN15804, U",b91847d3-1c5d-4250-87f0-0f96c7359c98,1,kg
"light fuel oil production, petroleum refinery operation | light fuel oil | EN15804, U",330f942c-5db6-49e1-935d-3b8808d25274,1,kg
"market for light fuel oil | light fuel oil | EN15804, U",3d3cb264-6965-4da7-9305-bd7fda2e76d0,1,kg
"light fuel oil, import from RoW | light fuel oil | EN15804, U",2b7bb6b5-9beb-491e-81ab-a69ae6f29553,1,kg
"market for light fuel oil | light fuel oil | EN15804, U",9a03ed7a-39ca-4fea-a198-e5c4b383e8a5,1,kg
"light fuel oil production, petroleum refinery operation | light fuel oil | EN15804, U",79d33589-1682-4368-9a6d-0dd0d5659960,1,kg
"market group for light fuel oil | light fuel oil | EN15804, U",1231b808-2b3b-4372-ae8f-522fa3f2bff1,1,kg
"light fuel oil, import from RoW | light fuel oil | EN15804, U",f2ba2a73-5b53-4924-93d5-68c3f751033c,1,kg
"market for light fuel oil | light fuel oil | EN15804, U",6227e7b4-8d02-4ca8-80d3-db5b5bbd05b4,1,kg
"market for light fuel oil | light fuel oil | EN15804, U",f4fbfbd7-badb-401e-b597-c297d715ddae,1,kg
"light fuel oil production, from waste polyethylene | light fuel oil | EN15804, U",dcb53c4a-6c52-4115-b028-af438f45808b,1,kg
"light fuel oil production, petroleum refinery operation | light fuel oil | EN15804, U",10eb5502-4bd0-413d-987e-35c5148d0b2c,1,kg
"market for light fuel oil | light fuel oil | EN15804, U",94c40280-3cb5-44f1-b720-73afc1cc0427,1,kg
"light fuel oil, import from Europe | light fuel oil | EN15804, U",b8cd1d8a-89dc-4dfd-b7e2-f588404aa56a,1,kg
"market for light fuel oil | light fuel oil | EN15804, U",ca7df18f-d8e8-49bd-8f82-9f8199512979,1,kg
"light fuel oil, import from RoW | light fuel oil | EN15804, U",adbbded3-887f-45d8-95c4-79359b465ec9,1,kg
"lignite briquettes production | lignite briquettes | EN15804, U",ba53e18b-dbda-49ed-b759-24a82d0536af,1,MJ
"market for lignite briquettes | lignite briquettes | EN15804, U",6a3fcbbc-98e5-4c9e-9ff6-c9ca6526cbb0,1,MJ
